type,name,size,i,time,verification
search,linear,1,0,0.000004,1
search,linear,1,1,0.000003,1
search,linear,1,2,0.000003,1
search,linear,1,3,0.000003,1
search,linear,1,4,0.000003,1
search,linear,1,5,0.000003,1
search,linear,1,6,0.000003,1
search,linear,1,7,0.000003,1
search,linear,1,8,0.000003,1
search,linear,1,9,0.000003,1
search,linear,2,0,0.000003,1
search,linear,2,1,0.000003,1
search,linear,2,2,0.000003,1
search,linear,2,3,0.000003,1
search,linear,2,4,0.000003,1
search,linear,2,5,0.000003,1
search,linear,2,6,0.000003,1
search,linear,2,7,0.000003,1
search,linear,2,8,0.000003,1
search,linear,2,9,0.000003,1
search,linear,4,0,0.000003,1
search,linear,4,1,0.000003,1
search,linear,4,2,0.000003,1
search,linear,4,3,0.000003,1
search,linear,4,4,0.000003,1
search,linear,4,5,0.000003,1
search,linear,4,6,0.000003,1
search,linear,4,7,0.000003,1
search,linear,4,8,0.000003,1
search,linear,4,9,0.000003,1
search,linear,8,0,0.000004,1
search,linear,8,1,0.000003,1
search,linear,8,2,0.000003,1
search,linear,8,3,0.000004,1
search,linear,8,4,0.000004,1
search,linear,8,5,0.000004,1
search,linear,8,6,0.000003,1
search,linear,8,7,0.000004,1
search,linear,8,8,0.000003,1
search,linear,8,9,0.000003,1
search,linear,16,0,0.000005,1
search,linear,16,1,0.000005,1
search,linear,16,2,0.000005,1
search,linear,16,3,0.000005,1
search,linear,16,4,0.000004,1
search,linear,16,5,0.000004,1
search,linear,16,6,0.000005,1
search,linear,16,7,0.000005,1
search,linear,16,8,0.000004,1
search,linear,16,9,0.000003,1
search,linear,32,0,0.000004,1
search,linear,32,1,0.000006,1
search,linear,32,2,0.000005,1
search,linear,32,3,0.000006,1
search,linear,32,4,0.000003,1
search,linear,32,5,0.000006,1
search,linear,32,6,0.000006,1
search,linear,32,7,0.000006,1
search,linear,32,8,0.000003,1
search,linear,32,9,0.000006,1
search,linear,64,0,0.000006,1
search,linear,64,1,0.000009,1
search,linear,64,2,0.000009,1
search,linear,64,3,0.000010,1
search,linear,64,4,0.000010,1
search,linear,64,5,0.000007,1
search,linear,64,6,0.000006,1
search,linear,64,7,0.000006,1
search,linear,64,8,0.000010,1
search,linear,64,9,0.000010,1
search,linear,128,0,0.000017,1
search,linear,128,1,0.000016,1
search,linear,128,2,0.000009,1
search,linear,128,3,0.000013,1
search,linear,128,4,0.000017,1
search,linear,128,5,0.000011,1
search,linear,128,6,0.000004,1
search,linear,128,7,0.000017,1
search,linear,128,8,0.000017,1
search,linear,128,9,0.000016,1
search,linear,256,0,0.000008,1
search,linear,256,1,0.000030,1
search,linear,256,2,0.000015,1
search,linear,256,3,0.000030,1
search,linear,256,4,0.000030,1
search,linear,256,5,0.000030,1
search,linear,256,6,0.000017,1
search,linear,256,7,0.000030,1
search,linear,256,8,0.000029,1
search,linear,256,9,0.000010,1
search,linear,512,0,0.000058,1
search,linear,512,1,0.000057,1
search,linear,512,2,0.000057,1
search,linear,512,3,0.000006,1
search,linear,512,4,0.000057,1
search,linear,512,5,0.000056,1
search,linear,512,6,0.000056,1
search,linear,512,7,0.000036,1
search,linear,512,8,0.000056,1
search,linear,512,9,0.000057,1
search,linear,1024,0,0.000025,1
search,linear,1024,1,0.000087,1
search,linear,1024,2,0.000115,1
search,linear,1024,3,0.000115,1
search,linear,1024,4,0.000015,1
search,linear,1024,5,0.000113,1
search,linear,1024,6,0.000115,1
search,linear,1024,7,0.000114,1
search,linear,1024,8,0.000096,1
search,linear,1024,9,0.000022,1
search,linear,2048,0,0.000218,1
search,linear,2048,1,0.000039,1
search,linear,2048,2,0.000167,1
search,linear,2048,3,0.000216,1
search,linear,2048,4,0.000216,1
search,linear,2048,5,0.000136,1
search,linear,2048,6,0.000217,1
search,linear,2048,7,0.000148,1
search,linear,2048,8,0.000216,1
search,linear,2048,9,0.000185,1
search,linear,4096,0,0.000333,1
search,linear,4096,1,0.000431,1
search,linear,4096,2,0.000430,1
search,linear,4096,3,0.000433,1
search,linear,4096,4,0.000433,1
search,linear,4096,5,0.000432,1
search,linear,4096,6,0.000433,1
search,linear,4096,7,0.000429,1
search,linear,4096,8,0.000433,1
search,linear,4096,9,0.000433,1
search,linear,8192,0,0.000058,1
search,linear,8192,1,0.000907,1
search,linear,8192,2,0.000426,1
search,linear,8192,3,0.000065,1
search,linear,8192,4,0.000696,1
search,linear,8192,5,0.000965,1
search,linear,8192,6,0.000958,1
search,linear,8192,7,0.000904,1
search,linear,8192,8,0.000899,1
search,linear,8192,9,0.000896,1
search,linear,16384,0,0.001740,1
search,linear,16384,1,0.001713,1
search,linear,16384,2,0.001710,1
search,linear,16384,3,0.001794,1
search,linear,16384,4,0.000062,1
search,linear,16384,5,0.000951,1
search,linear,16384,6,0.001740,1
search,linear,16384,7,0.001713,1
search,linear,16384,8,0.001704,1
search,linear,16384,9,0.001704,1
search,linear,32768,0,0.003801,1
search,linear,32768,1,0.000853,1
search,linear,32768,2,0.003583,1
search,linear,32768,3,0.003454,1
search,linear,32768,4,0.003460,1
search,linear,32768,5,0.003982,1
search,linear,32768,6,0.002675,1
search,linear,32768,7,0.003419,1
search,linear,32768,8,0.001079,1
search,linear,32768,9,0.003385,1
search,binary,1,0,0.000004,0
search,binary,1,1,0.000003,0
search,binary,1,2,0.000003,0
search,binary,1,3,0.000003,0
search,binary,1,4,0.000003,0
search,binary,1,5,0.000003,0
search,binary,1,6,0.000003,0
search,binary,1,7,0.000003,0
search,binary,1,8,0.000003,0
search,binary,1,9,0.000003,0
search,binary,2,0,0.000003,1
search,binary,2,1,0.000003,1
search,binary,2,2,0.000003,1
search,binary,2,3,0.000003,0
search,binary,2,4,0.000003,0
search,binary,2,5,0.000003,1
search,binary,2,6,0.000003,0
search,binary,2,7,0.000003,0
search,binary,2,8,0.000003,1
search,binary,2,9,0.000003,1
search,binary,4,0,0.000003,1
search,binary,4,1,0.000003,1
search,binary,4,2,0.000003,0
search,binary,4,3,0.000003,1
search,binary,4,4,0.000003,1
search,binary,4,5,0.000003,1
search,binary,4,6,0.000003,0
search,binary,4,7,0.000003,1
search,binary,4,8,0.000003,1
search,binary,4,9,0.000003,1
search,binary,8,0,0.000003,0
search,binary,8,1,0.000004,1
search,binary,8,2,0.000004,1
search,binary,8,3,0.000004,1
search,binary,8,4,0.000004,0
search,binary,8,5,0.000004,0
search,binary,8,6,0.000003,0
search,binary,8,7,0.000004,1
search,binary,8,8,0.000003,1
search,binary,8,9,0.000004,1
search,binary,16,0,0.000004,1
search,binary,16,1,0.000004,1
search,binary,16,2,0.000004,1
search,binary,16,3,0.000005,1
search,binary,16,4,0.000004,1
search,binary,16,5,0.000005,1
search,binary,16,6,0.000004,1
search,binary,16,7,0.000004,1
search,binary,16,8,0.000004,1
search,binary,16,9,0.000004,1
search,binary,32,0,0.000005,1
search,binary,32,1,0.000004,1
search,binary,32,2,0.000005,1
search,binary,32,3,0.000005,1
search,binary,32,4,0.000003,1
search,binary,32,5,0.000004,0
search,binary,32,6,0.000005,1
search,binary,32,7,0.000005,1
search,binary,32,8,0.000005,1
search,binary,32,9,0.000004,1
search,binary,64,0,0.000006,1
search,binary,64,1,0.000004,1
search,binary,64,2,0.000005,1
search,binary,64,3,0.000006,1
search,binary,64,4,0.000004,1
search,binary,64,5,0.000005,1
search,binary,64,6,0.000005,1
search,binary,64,7,0.000006,1
search,binary,64,8,0.000005,1
search,binary,64,9,0.000005,1
search,binary,128,0,0.000006,1
search,binary,128,1,0.000006,1
search,binary,128,2,0.000005,1
search,binary,128,3,0.000005,1
search,binary,128,4,0.000006,1
search,binary,128,5,0.000005,1
search,binary,128,6,0.000006,1
search,binary,128,7,0.000006,1
search,binary,128,8,0.000006,1
search,binary,128,9,0.000006,1
search,binary,256,0,0.000006,1
search,binary,256,1,0.000006,1
search,binary,256,2,0.000005,1
search,binary,256,3,0.000006,1
search,binary,256,4,0.000006,1
search,binary,256,5,0.000005,1
search,binary,256,6,0.000006,1
search,binary,256,7,0.000004,1
search,binary,256,8,0.000006,1
search,binary,256,9,0.000006,1
search,binary,512,0,0.000006,1
search,binary,512,1,0.000007,1
search,binary,512,2,0.000007,1
search,binary,512,3,0.000006,1
search,binary,512,4,0.000007,1
search,binary,512,5,0.000006,1
search,binary,512,6,0.000004,1
search,binary,512,7,0.000007,1
search,binary,512,8,0.000007,1
search,binary,512,9,0.000006,1
search,binary,1024,0,0.000006,1
search,binary,1024,1,0.000007,1
search,binary,1024,2,0.000006,1
search,binary,1024,3,0.000006,1
search,binary,1024,4,0.000007,1
